handle,title,description,vendor,type,tags,price,compare_at_price,sku,inventory_qty,weight,weight_unit,image_url,variant_option1_name,variant_option1_value
dad-hat,Signature Dad Hat,Unstructured black dad hat with gold thread embroidery. Adjustable strap with gold clasp.,Lil' Tax Bracket,Headwear,hats;black;relaxed,34.99,,DAD-SIGN,150,0.2,lb,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=800,,
track-jacket,Midnight Track Jacket,Black satin track jacket with gold piping. Embroidered logo on chest. Full zip.,Lil' Tax Bracket,Outerwear,premium;black;satin,149.99,179.99,TRACK-MID-M,25,0.9,lb,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=800,Size,Medium
track-jacket,Midnight Track Jacket,Black satin track jacket with gold piping. Embroidered logo on chest. Full zip.,Lil' Tax Bracket,Outerwear,premium;black;satin,149.99,179.99,TRACK-MID-L,30,0.95,lb,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=800,Size,Large
track-jacket,Midnight Track Jacket,Black satin track jacket with gold piping. Embroidered logo on chest. Full zip.,Lil' Tax Bracket,Outerwear,premium;black;satin,149.99,179.99,TRACK-MID-XL,20,1.0,lb,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=800,Size,X-Large
chain-pendant,Crown Pendant Chain,18k gold plated pendant on 24 inch Cuban link chain. Comes in velvet box.,Lil' Tax Bracket,Jewelry,jewelry;gold;premium,89.99,,CHAIN-CROWN,60,0.3,lb,https://images.unsplash.com/photo-1611652022419-a9419f74343d?w=800,,
shorts,Mesh Shorts,Black basketball shorts with gold logo. Breathable mesh. Side pockets.,Lil' Tax Bracket,Bottoms,shorts;black;athletic,54.99,64.99,SHORT-MESH-M,45,0.4,lb,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=800,Size,Medium
shorts,Mesh Shorts,Black basketball shorts with gold logo. Breathable mesh. Side pockets.,Lil' Tax Bracket,Bottoms,shorts;black;athletic,54.99,64.99,SHORT-MESH-L,50,0.4,lb,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=800,Size,Large
shorts,Mesh Shorts,Black basketball shorts with gold logo. Breathable mesh. Side pockets.,Lil' Tax Bracket,Bottoms,shorts;black;athletic,54.99,64.99,SHORT-MESH-XL,35,0.45,lb,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=800,Size,X-Large
duffle-bag,Luxury Duffle,Black leather duffle bag with gold hardware. Embossed logo. Weekend or gym ready.,Lil' Tax Bracket,Bags,bags;leather;premium,199.99,249.99,DUFF-LUX,30,3.0,lb,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800,,
phone-case,Drip Phone Case,Matte black case with gold drip graphic. Available for latest iPhone and Samsung models.,Lil' Tax Bracket,Accessories,tech;black;gold,29.99,,CASE-DRIP-IP15,100,0.1,lb,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=800,Model,iPhone 15
phone-case,Drip Phone Case,Matte black case with gold drip graphic. Available for latest iPhone and Samsung models.,Lil' Tax Bracket,Accessories,tech;black;gold,29.99,,CASE-DRIP-SAM,80,0.1,lb,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=800,Model,Samsung Galaxy
rolling-tray,Gold Leaf Rolling Tray,Metal rolling tray with gold leaf finish. Logo debossed in center. 7x11 inches.,Lil' Tax Bracket,Accessories,accessories;gold;420,34.99,,TRAY-GOLD,75,0.6,lb,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,,
